"Group_name","IU_ID","IU_ID2"
"1","66018","SDN66018"
"1","66019","SDN66019"
"1","66020","SDN66020"
"1","66021","SDN66021"
"1","66022","SDN66022"
"1","66023","SDN66023"
"1","66024","SDN66024"
"1","66025","SDN66025"
"1","66026","SDN66026"
"1","66027","SDN66027"
"1","66028","SDN66028"
"1","66029","SDN66029"
"1","66030","SDN66030"
"1","66031","SDN66031"
"1","66032","SDN66032"
"1","66033","SDN66033"
"1","66034","SDN66034"
"1","66035","SDN66035"
"1","66036","SDN66036"
"1","66037","SDN66037"
"1","66038","SDN66038"
"1","66039","SDN66039"
"1","66040","SDN66040"
"1","66041","SDN66041"
"1","66042","SDN66042"
"1","66043","SDN66043"
"1","66044","SDN66044"
"1","66045","SDN66045"
"1","66046","SDN66046"
"1","66047","SDN66047"
"1","66048","SDN66048"
"1","66049","SDN66049"
"1","66050","SDN66050"
"1","66051","SDN66051"
"1","66052","SDN66052"
"1","66053","SDN66053"
"1","66054","SDN66054"
"1","66055","SDN66055"
"1","66056","SDN66056"
"1","66057","SDN66057"
"1","66058","SDN66058"
"1","66059","SDN66059"
"1","66060","SDN66060"
"1","66061","SDN66061"
"1","66062","SDN66062"
"1","66063","SDN66063"
"1","66064","SDN66064"
"1","66065","SDN66065"
"1","66066","SDN66066"
"1","66067","SDN66067"
"1","66068","SDN66068"
"1","66069","SDN66069"
"1","66070","SDN66070"
"1","66071","SDN66071"
"1","66072","SDN66072"
"1","66073","SDN66073"
"1","66074","SDN66074"
"1","66075","SDN66075"
"1","66076","SDN66076"
"1","66077","SDN66077"
"1","66078","SDN66078"
"1","66079","SDN66079"
"1","66080","SDN66080"
"1","66081","SDN66081"
"1","66082","SDN66082"
"1","66083","SDN66083"
"1","66084","SDN66084"
"1","66085","SDN66085"
"1","66086","SDN66086"
"1","66087","SDN66087"
"1","66088","SDN66088"
"1","66089","SDN66089"
"1","66090","SDN66090"
"1","66091","SDN66091"
"1","66092","SDN66092"
"1","66093","SDN66093"
"1","66094","SDN66094"
"1","66095","SDN66095"
"1","66096","SDN66096"
"1","66097","SDN66097"
"1","66098","SDN66098"
"1","66099","SDN66099"
"1","66100","SDN66100"
"1","66101","SDN66101"
"1","66102","SDN66102"
"1","66103","SDN66103"
"1","66104","SDN66104"
"1","66105","SDN66105"
"1","66106","SDN66106"
"1","66107","SDN66107"
"1","66108","SDN66108"
"1","66109","SDN66109"
"1","66110","SDN66110"
"1","66111","SDN66111"
"1","66112","SDN66112"
"1","66113","SDN66113"
"1","66114","SDN66114"
"1","66115","SDN66115"
"1","66116","SDN66116"
"1","66117","SDN66117"
"1","66118","SDN66118"
"1","66119","SDN66119"
"1","66120","SDN66120"
"1","66121","SDN66121"
"1","66122","SDN66122"
"1","66123","SDN66123"
"1","66124","SDN66124"
"1","66125","SDN66125"
"1","66126","SDN66126"
"1","66127","SDN66127"
"1","66128","SDN66128"
"1","66129","SDN66129"
"1","66130","SDN66130"
"1","66131","SDN66131"
"1","66132","SDN66132"
"1","66133","SDN66133"
"1","66134","SDN66134"
"1","66135","SDN66135"
"1","66136","SDN66136"
"1","66137","SDN66137"
"1","66138","SDN66138"
"1","66139","SDN66139"
"1","66140","SDN66140"
"1","66141","SDN66141"
"1","66142","SDN66142"
"1","66143","SDN66143"
"1","66144","SDN66144"
"1","66145","SDN66145"
"1","66146","SDN66146"
"1","66147","SDN66147"
"1","66148","SDN66148"
"1","66149","SDN66149"
"1","66150","SDN66150"
"1","66151","SDN66151"
"1","66152","SDN66152"
"1","66153","SDN66153"
"1","66154","SDN66154"
"1","66155","SDN66155"
"1","66156","SDN66156"
"1","66157","SDN66157"
"1","66158","SDN66158"
"1","66159","SDN66159"
"1","66160","SDN66160"
"1","66161","SDN66161"
"1","66162","SDN66162"
"1","66163","SDN66163"
"1","66164","SDN66164"
"1","66165","SDN66165"
"1","66166","SDN66166"
"1","66167","SDN66167"
"1","40149","SEN40149"
"1","40150","SEN40150"
"1","40152","SEN40152"
"1","40154","SEN40154"
"1","40155","SEN40155"
"1","40156","SEN40156"
"1","40157","SEN40157"
"1","40159","SEN40159"
"1","40160","SEN40160"
"1","40161","SEN40161"
"1","40162","SEN40162"
"1","40163","SEN40163"
"1","40164","SEN40164"
"1","40165","SEN40165"
"1","40166","SEN40166"
"1","40167","SEN40167"
"1","40168","SEN40168"
"1","40169","SEN40169"
"1","40170","SEN40170"
"1","40171","SEN40171"
"1","40172","SEN40172"
"1","40173","SEN40173"
"1","40174","SEN40174"
"1","40175","SEN40175"
"1","40176","SEN40176"
