"Group_name","IU_ID","IU_ID2"
"1","19543","ETH19543"
"1","19544","ETH19544"
"1","19545","ETH19545"
"1","19547","ETH19547"
"1","19548","ETH19548"
"1","19549","ETH19549"
"1","19550","ETH19550"
"1","19551","ETH19551"
"1","19552","ETH19552"
"1","19553","ETH19553"
"1","19554","ETH19554"
"1","19555","ETH19555"
"1","19556","ETH19556"
"1","19557","ETH19557"
"1","19558","ETH19558"
"1","19559","ETH19559"
"1","19560","ETH19560"
"1","19561","ETH19561"
"1","19562","ETH19562"
"1","19563","ETH19563"
"1","19564","ETH19564"
"1","19565","ETH19565"
"1","19566","ETH19566"
"1","19567","ETH19567"
"1","19568","ETH19568"
"1","19570","ETH19570"
"1","19572","ETH19572"
"1","19573","ETH19573"
"1","19574","ETH19574"
"1","19575","ETH19575"
"1","19576","ETH19576"
"1","19577","ETH19577"
"1","19578","ETH19578"
"1","19579","ETH19579"
"1","19580","ETH19580"
"1","19581","ETH19581"
"1","19582","ETH19582"
"1","19583","ETH19583"
"1","19584","ETH19584"
"1","19585","ETH19585"
"1","19586","ETH19586"
"1","19587","ETH19587"
"1","19588","ETH19588"
"1","19590","ETH19590"
"1","19591","ETH19591"
"1","52964","ETH52964"
"1","20328","GAB20328"
"1","20329","GAB20329"
"1","20330","GAB20330"
"1","20331","GAB20331"
"1","20332","GAB20332"
"1","20333","GAB20333"
"1","20334","GAB20334"
"1","20335","GAB20335"
"1","20336","GAB20336"
"1","20337","GAB20337"
"1","20338","GAB20338"
"1","20339","GAB20339"
"1","20340","GAB20340"
"1","20341","GAB20341"
"1","20342","GAB20342"
"1","20343","GAB20343"
"1","20344","GAB20344"
"1","20345","GAB20345"
"1","20346","GAB20346"
"1","20347","GAB20347"
"1","20348","GAB20348"
"1","20349","GAB20349"
"1","20350","GAB20350"
"1","20351","GAB20351"
"1","20352","GAB20352"
"1","20353","GAB20353"
"1","20354","GAB20354"
"1","20355","GAB20355"
"1","20356","GAB20356"
"1","20357","GAB20357"
"1","20358","GAB20358"
"1","20359","GAB20359"
"1","20360","GAB20360"
"1","20361","GAB20361"
"1","20362","GAB20362"
"1","20363","GAB20363"
"1","20364","GAB20364"
"1","20365","GAB20365"
"1","20366","GAB20366"
"1","20367","GAB20367"
"1","20368","GAB20368"
"1","20369","GAB20369"
"1","20370","GAB20370"
"1","20371","GAB20371"
"1","20372","GAB20372"
"1","20373","GAB20373"
"1","20374","GAB20374"
"1","20375","GAB20375"
"1","20376","GAB20376"
"1","20377","GAB20377"
"1","20378","GAB20378"
"1","21378","GHA21378"
"1","21380","GHA21380"
"1","21382","GHA21382"
"1","21384","GHA21384"
"1","21386","GHA21386"
"1","21387","GHA21387"
"1","21388","GHA21388"
"1","21389","GHA21389"
"1","21390","GHA21390"
"1","21391","GHA21391"
"1","21392","GHA21392"
"1","21393","GHA21393"
"1","21394","GHA21394"
"1","21395","GHA21395"
"1","21397","GHA21397"
"1","21399","GHA21399"
"1","21400","GHA21400"
"1","21402","GHA21402"
"1","21403","GHA21403"
"1","21404","GHA21404"
"1","21405","GHA21405"
"1","21406","GHA21406"
"1","21407","GHA21407"
"1","21408","GHA21408"
"1","21409","GHA21409"
"1","21411","GHA21411"
"1","21412","GHA21412"
"1","21413","GHA21413"
"1","21414","GHA21414"
"1","21416","GHA21416"
"1","21417","GHA21417"
"1","21418","GHA21418"
"1","21419","GHA21419"
"1","21420","GHA21420"
"1","21421","GHA21421"
"1","21422","GHA21422"
"1","21423","GHA21423"
"1","21424","GHA21424"
"1","21427","GHA21427"
"1","21428","GHA21428"
"1","21429","GHA21429"
"1","21430","GHA21430"
"1","21431","GHA21431"
"1","21432","GHA21432"
"1","21433","GHA21433"
"1","21434","GHA21434"
"1","21435","GHA21435"
"1","21436","GHA21436"
"1","21437","GHA21437"
"1","21438","GHA21438"
"1","21439","GHA21439"
"1","21440","GHA21440"
"1","21441","GHA21441"
"1","21443","GHA21443"
"1","21444","GHA21444"
"1","21445","GHA21445"
"1","21446","GHA21446"
"1","21447","GHA21447"
"1","21448","GHA21448"
"1","21450","GHA21450"
"1","21451","GHA21451"
"1","21453","GHA21453"
"1","21454","GHA21454"
"1","21455","GHA21455"
"1","21456","GHA21456"
"1","21457","GHA21457"
"1","21459","GHA21459"
"1","21460","GHA21460"
"1","21461","GHA21461"
"1","21463","GHA21463"
"1","21465","GHA21465"
"1","21468","GHA21468"
"1","21471","GHA21471"
"1","21472","GHA21472"
"1","21473","GHA21473"
"1","21474","GHA21474"
"1","21476","GHA21476"
"1","21477","GHA21477"
