"Group_name","IU_ID","IU_ID2"
"1","46479","TZA46479"
"1","46480","TZA46480"
"1","46481","TZA46481"
"1","46482","TZA46482"
"1","46483","TZA46483"
"1","46484","TZA46484"
"1","46485","TZA46485"
"1","46486","TZA46486"
"1","46487","TZA46487"
"1","46488","TZA46488"
"1","46489","TZA46489"
"1","46490","TZA46490"
"1","46491","TZA46491"
"1","46492","TZA46492"
"1","46493","TZA46493"
"1","46494","TZA46494"
"1","46495","TZA46495"
"1","46496","TZA46496"
"1","46497","TZA46497"
"1","46498","TZA46498"
"1","46499","TZA46499"
"1","46500","TZA46500"
"1","46501","TZA46501"
"1","46502","TZA46502"
"1","46503","TZA46503"
"1","46504","TZA46504"
"1","46505","TZA46505"
"1","46506","TZA46506"
"1","46507","TZA46507"
"1","46508","TZA46508"
"1","46509","TZA46509"
"1","46510","TZA46510"
"1","46511","TZA46511"
"1","46512","TZA46512"
"1","46513","TZA46513"
"1","46514","TZA46514"
"1","46515","TZA46515"
"1","46516","TZA46516"
"1","46517","TZA46517"
"1","46518","TZA46518"
"1","46519","TZA46519"
"1","46520","TZA46520"
"1","46521","TZA46521"
"1","46522","TZA46522"
"1","46523","TZA46523"
"1","46524","TZA46524"
"1","46525","TZA46525"
"1","46526","TZA46526"
"1","46527","TZA46527"
"1","46528","TZA46528"
"1","46529","TZA46529"
"1","46530","TZA46530"
"1","46531","TZA46531"
"1","46532","TZA46532"
"1","46533","TZA46533"
"1","46534","TZA46534"
"1","46535","TZA46535"
"1","46536","TZA46536"
"1","46537","TZA46537"
"1","46538","TZA46538"
"1","46539","TZA46539"
"1","46540","TZA46540"
"1","46541","TZA46541"
"1","46542","TZA46542"
"1","46543","TZA46543"
"1","46544","TZA46544"
"1","46545","TZA46545"
"1","46546","TZA46546"
"1","46547","TZA46547"
"1","46548","TZA46548"
"1","46549","TZA46549"
"1","46550","TZA46550"
"1","46551","TZA46551"
"1","46552","TZA46552"
"1","46553","TZA46553"
"1","46554","TZA46554"
"1","46555","TZA46555"
"1","46556","TZA46556"
"1","46557","TZA46557"
"1","46558","TZA46558"
"1","46559","TZA46559"
"1","46561","TZA46561"
"1","46562","TZA46562"
"1","46563","TZA46563"
"1","46564","TZA46564"
"1","46565","TZA46565"
"1","46566","TZA46566"
"1","46567","TZA46567"
"1","46568","TZA46568"
"1","46569","TZA46569"
"1","46570","TZA46570"
"1","46571","TZA46571"
"1","46572","TZA46572"
"1","46573","TZA46573"
"1","46574","TZA46574"
"1","46575","TZA46575"
"1","46576","TZA46576"
"1","46577","TZA46577"
"1","46578","TZA46578"
"1","46579","TZA46579"
"1","46580","TZA46580"
"1","46581","TZA46581"
"1","46582","TZA46582"
"1","46583","TZA46583"
"1","46584","TZA46584"
"1","46585","TZA46585"
"1","46586","TZA46586"
"1","46587","TZA46587"
"1","46590","TZA46590"
"1","46591","TZA46591"
"1","46592","TZA46592"
"1","46593","TZA46593"
"1","46594","TZA46594"
"1","46595","TZA46595"
"1","46598","TZA46598"
"1","46599","TZA46599"
"1","46600","TZA46600"
"1","46601","TZA46601"
"1","46602","TZA46602"
"1","46603","TZA46603"
"1","46604","TZA46604"
"1","46605","TZA46605"
"1","46606","TZA46606"
"1","46607","TZA46607"
"1","46608","TZA46608"
"1","46609","TZA46609"
"1","46610","TZA46610"
"1","46611","TZA46611"
"1","46612","TZA46612"
"1","46613","TZA46613"
"1","46614","TZA46614"
"1","46615","TZA46615"
"1","46616","TZA46616"
"1","46617","TZA46617"
"1","46618","TZA46618"
"1","46619","TZA46619"
"1","46620","TZA46620"
"1","46621","TZA46621"
"1","46622","TZA46622"
"1","46623","TZA46623"
"1","46624","TZA46624"
"1","46625","TZA46625"
"1","46626","TZA46626"
"1","46627","TZA46627"
"1","46628","TZA46628"
"1","46630","TZA46630"
"1","46631","TZA46631"
"1","46632","TZA46632"
"1","46633","TZA46633"
"1","46634","TZA46634"
"1","46635","TZA46635"
"1","46636","TZA46636"
"1","46638","TZA46638"
"1","46639","TZA46639"
"1","46640","TZA46640"
"1","46641","TZA46641"
"1","46642","TZA46642"
"1","46643","TZA46643"
"1","46644","TZA46644"
"1","46645","TZA46645"
"1","46646","TZA46646"
"1","51892","TZZ51892"
"1","51893","TZZ51893"
"1","51894","TZZ51894"
"1","51895","TZZ51895"
"1","51896","TZZ51896"
"1","51897","TZZ51897"
"1","51898","TZZ51898"
"1","51899","TZZ51899"
"1","51900","TZZ51900"
"1","51901","TZZ51901"
"1","51902","TZZ51902"
"1","50818","ZMB50818"
"1","50819","ZMB50819"
"1","50821","ZMB50821"
