"Group_name","IU_ID","IU_ID2"
"1","BDI06421","BDI06421"
"1","BDI06422","BDI06422"
"1","BDI06423","BDI06423"
"1","BDI06424","BDI06424"
"1","BDI06425","BDI06425"
"1","BWA04314","BWA04314"
"1","BWA04315","BWA04315"
"1","BWA04316","BWA04316"
"1","BWA04317","BWA04317"
"1","BWA04318","BWA04318"
"1","BWA04319","BWA04319"
"1","CAF09661","CAF09661"
"1","CAF09662","CAF09662"
"1","CAF09663","CAF09663"
"1","CAF09664","CAF09664"
"1","CAF09665","CAF09665"
"1","CAF09666","CAF09666"
"1","CAF09667","CAF09667"
"1","CAF09668","CAF09668"
"1","CAF09669","CAF09669"
"1","CAF09670","CAF09670"
"1","CAF09671","CAF09671"
"1","CAF09672","CAF09672"
"1","CAF09673","CAF09673"
"1","CAF09674","CAF09674"
"1","CAF09675","CAF09675"
"1","CAF09676","CAF09676"
"1","CAF09677","CAF09677"
"1","CAF09678","CAF09678"
"1","CAF09679","CAF09679"
"1","CAF09680","CAF09680"
"1","CAF09681","CAF09681"
"1","CAF09682","CAF09682"
"1","CAF09683","CAF09683"
"1","CAF09684","CAF09684"
"1","CAF09685","CAF09685"
"1","CAF09686","CAF09686"
"1","CAF09687","CAF09687"
"1","CAF09688","CAF09688"
"1","CAF09689","CAF09689"
"1","CAF09690","CAF09690"
"1","CAF09691","CAF09691"
"1","CAF09692","CAF09692"
"1","CAF09693","CAF09693"
"1","CAF09694","CAF09694"
"1","CAF09695","CAF09695"
"1","CIV15412","CIV15412"
"1","CIV15413","CIV15413"
"1","CIV15414","CIV15414"
"1","CIV15417","CIV15417"
"1","CIV15418","CIV15418"
"1","CIV15419","CIV15419"
"1","CIV15420","CIV15420"
"1","CIV15421","CIV15421"
"1","CIV15422","CIV15422"
"1","CIV15423","CIV15423"
"1","CIV15424","CIV15424"
"1","CIV15425","CIV15425"
"1","CIV15426","CIV15426"
"1","CIV15427","CIV15427"
"1","CIV15428","CIV15428"
"1","CIV15429","CIV15429"
"1","CIV15430","CIV15430"
"1","CIV15431","CIV15431"
"1","CIV15432","CIV15432"
"1","CIV15433","CIV15433"
"1","CIV15434","CIV15434"
"1","CIV15435","CIV15435"
"1","CIV15436","CIV15436"
"1","CIV15437","CIV15437"
"1","CIV15438","CIV15438"
"1","CIV15439","CIV15439"
"1","CIV15440","CIV15440"
"1","CIV15441","CIV15441"
"1","CIV15442","CIV15442"
"1","CIV15443","CIV15443"
"1","CIV15444","CIV15444"
"1","CIV15445","CIV15445"
"1","CIV15446","CIV15446"
"1","CIV15447","CIV15447"
"1","CIV15448","CIV15448"
"1","CIV15449","CIV15449"
"1","CIV15450","CIV15450"
"1","CIV15451","CIV15451"
"1","CIV15452","CIV15452"
"1","CIV15453","CIV15453"
"1","CIV15454","CIV15454"
"1","CIV15455","CIV15455"
"1","CIV15456","CIV15456"
"1","CIV15457","CIV15457"
"1","CIV15458","CIV15458"
"1","CIV15459","CIV15459"
"1","CIV15460","CIV15460"
"1","CIV15461","CIV15461"
"1","CIV15462","CIV15462"
"1","CIV15463","CIV15463"
"1","CIV15464","CIV15464"
"1","CMR07609","CMR07609"
"1","CMR07610","CMR07610"
"1","CMR07611","CMR07611"
"1","CMR07612","CMR07612"
"1","CMR07613","CMR07613"
"1","CMR07614","CMR07614"
"1","CMR07615","CMR07615"
"1","CMR07616","CMR07616"
"1","COG12831","COG12831"
"1","COG12832","COG12832"
"1","COG12833","COG12833"
"1","COG12834","COG12834"
"1","COG12835","COG12835"
"1","COG12836","COG12836"
"1","COG12837","COG12837"
"1","COG12838","COG12838"
"1","COG12839","COG12839"
"1","COG12840","COG12840"
"1","COG12841","COG12841"
"1","COG12842","COG12842"
"1","COG12843","COG12843"
"1","COG12844","COG12844"
"1","COG12846","COG12846"
"1","COG12847","COG12847"
"1","COG12848","COG12848"
"1","COG12849","COG12849"
"1","COG12850","COG12850"
"1","ETH19166","ETH19166"
"1","ETH19169","ETH19169"
"1","ETH19170","ETH19170"
"1","ETH19171","ETH19171"
